iter	Passed	Remaining
0	1	170
1	2	138
2	3	124
3	4	117
4	5	111
5	6	109
6	7	105
7	8	102
8	9	100
9	10	97
10	11	94
11	12	93
12	13	91
13	14	90
14	15	88
15	16	86
16	17	85
17	18	83
18	19	82
19	20	80
20	21	79
21	22	78
22	22	76
23	23	75
24	24	74
25	25	73
26	26	72
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	67
33	34	66
34	35	65
35	36	64
36	37	63
37	38	62
38	39	61
39	40	60
40	41	59
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	52	46
53	53	45
54	54	44
55	55	43
56	55	42
57	56	41
58	57	40
59	58	38
60	59	37
61	60	36
62	61	36
63	62	35
64	63	34
65	64	33
66	65	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	71	26
73	71	25
74	72	24
75	73	23
76	74	22
77	75	21
78	76	20
79	77	19
80	78	18
81	79	17
82	80	16
83	81	15
84	82	14
85	83	13
86	84	12
87	85	11
88	86	10
89	87	9
90	88	8
91	88	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
